team,name,sex,birthday,weight_lbs,skill_level,age_bracket
Summit Youth Wrestling,Riley Brown,M,2014-12-17,89,2,Junior
Northgate Grapplers,Casey Williams,M,2020-10-06,59,2,Tots
Eastside Takedown Club,Morgan Smith,F,2013-07-05,96,4,Intermediate
Summit Youth Wrestling,Rowan Bennett,M,2013-08-09,95,2,Intermediate
Northgate Grapplers,Quinn Fischer,M,2013-03-09,94,3,Intermediate
Summit Youth Wrestling,Sam Brown,F,2017-02-13,62,4,Midget
Ironclad Wrestling Club,Quinn Patel,M,2022-12-15,28,3,Tots
Prairie Wolves Wrestling,Cameron Coleman,M,2018-05-09,53,1,Bantams
Prairie Wolves Wrestling,Rowan Brown,F,2015-09-24,70,1,Junior
Ironclad Wrestling Club,Parker Diaz,F,2016-08-06,80,4,Midget
Eastside Takedown Club,Hayden Kowalski,M,2018-12-20,68,1,Bantams
Prairie Wolves Wrestling,Sam Nguyen,M,2016-05-02,82,3,Midget
River Valley Wrestling,Parker Kowalski,F,2013-04-26,89,4,Intermediate
Ironclad Wrestling Club,Drew Ramirez,F,2014-01-23,87,4,Junior
Summit Youth Wrestling,Emerson Reyes,M,2018-07-05,52,3,Bantams
River Valley Wrestling,Reese Reyes,M,2018-06-18,56,3,Bantams
Prairie Wolves Wrestling,Riley Bennett,M,2016-03-19,79,2,Midget
Eastside Takedown Club,Drew Kowalski,F,2013-08-11,99,3,Intermediate
Ironclad Wrestling Club,Drew Ramirez,F,2013-02-10,99,2,Intermediate
Ironclad Wrestling Club,Morgan Brown,M,2019-03-12,65,1,Bantams
Eastside Takedown Club,Reese Kowalski,F,2013-08-22,84,1,Intermediate
Ironclad Wrestling Club,Hayden Johnson,F,2016-05-07,76,4,Midget
Summit Youth Wrestling,Avery Coleman,F,2017-02-17,64,3,Midget
Summit Youth Wrestling,Quinn Garcia,F,2019-12-20,62,1,Bantams
River Valley Wrestling,Hayden Patel,M,2018-12-13,55,3,Bantams
Eastside Takedown Club,Cameron Kowalski,F,2022-01-05,34,3,Tots
Prairie Wolves Wrestling,Quinn Mitchell,M,2013-10-02,93,4,Intermediate
Prairie Wolves Wrestling,Casey Nguyen,M,2017-02-11,72,2,Midget
Ironclad Wrestling Club,Rowan Torres,M,2016-07-22,74,4,Midget
Northgate Grapplers,Taylor Sullivan,M,2018-11-05,51,2,Bantams
Prairie Wolves Wrestling,Jordan Sullivan,F,2016-11-28,71,4,Midget
Eastside Takedown Club,Morgan Bennett,M,2022-05-26,37,3,Tots
River Valley Wrestling,Alex Brown,M,2015-01-11,72,4,Junior
River Valley Wrestling,Drew Garcia,M,2015-03-28,74,2,Junior
Prairie Wolves Wrestling,Avery Fischer,M,2017-05-23,64,4,Midget
Summit Youth Wrestling,Jordan Smith,M,2015-06-03,74,4,Junior
River Valley Wrestling,Blake Diaz,F,2019-12-28,57,2,Bantams
Eastside Takedown Club,Blake Smith,F,2019-01-19,60,4,Bantams
Summit Youth Wrestling,Reese Ramirez,M,2014-03-20,92,1,Junior
River Valley Wrestling,Blake Smith,M,2021-06-04,41,4,Tots
Prairie Wolves Wrestling,Rowan Fischer,F,2021-03-27,37,3,Tots
Ironclad Wrestling Club,Drew Garcia,F,2018-02-16,64,4,Bantams
Prairie Wolves Wrestling,Avery Fischer,M,2019-01-23,47,2,Bantams
Ironclad Wrestling Club,Parker Torres,M,2014-01-02,87,4,Junior
River Valley Wrestling,Rowan Kowalski,F,2022-08-22,43,4,Tots
Ironclad Wrestling Club,Sam Fischer,F,2016-02-17,79,2,Midget
Eastside Takedown Club,Cameron Brown,M,2013-01-09,94,3,Intermediate
Summit Youth Wrestling,Jordan Patel,M,2018-09-19,68,2,Bantams
Prairie Wolves Wrestling,Alex Garcia,M,2018-07-09,60,2,Bantams
Eastside Takedown Club,Alex Anderson,F,2019-09-10,51,3,Bantams
Prairie Wolves Wrestling,Casey Mitchell,F,2015-10-23,71,4,Junior
River Valley Wrestling,Parker Nguyen,F,2013-06-18,91,2,Intermediate
Summit Youth Wrestling,Morgan Coleman,F,2017-08-23,63,4,Midget
Ironclad Wrestling Club,Sam Reyes,M,2013-11-11,91,1,Intermediate
Eastside Takedown Club,Jordan Ramirez,F,2018-03-06,52,4,Bantams
Summit Youth Wrestling,Emerson Patel,F,2020-01-18,41,2,Tots
River Valley Wrestling,Sam Patel,F,2015-03-02,71,2,Junior
Eastside Takedown Club,Quinn Ramirez,M,2022-02-27,40,4,Tots
Summit Youth Wrestling,Blake Sullivan,M,2013-06-14,99,4,Intermediate
Summit Youth Wrestling,Quinn Williams,M,2021-12-02,53,3,Tots
Prairie Wolves Wrestling,Blake Williams,M,2015-01-19,73,2,Junior
Northgate Grapplers,Taylor Reyes,M,2013-06-10,98,1,Intermediate
Eastside Takedown Club,Cameron Bennett,M,2016-08-21,72,1,Midget
Ironclad Wrestling Club,Cameron Bennett,M,2013-07-11,95,4,Intermediate
Summit Youth Wrestling,Parker Johnson,F,2013-06-12,97,2,Intermediate
Northgate Grapplers,Jamie Garcia,F,2013-06-21,101,3,Intermediate
Northgate Grapplers,Avery Diaz,F,2015-04-28,87,1,Junior
River Valley Wrestling,Alex Bennett,M,2019-03-07,57,2,Bantams
River Valley Wrestling,Blake Garcia,M,2020-05-05,50,4,Tots
Summit Youth Wrestling,Drew Reyes,F,2015-01-01,73,3,Junior
Ironclad Wrestling Club,Skyler Fischer,F,2014-03-26,80,4,Junior
Summit Youth Wrestling,Rowan Brown,F,2016-05-14,83,2,Midget
River Valley Wrestling,Reese Smith,F,2013-11-19,87,1,Intermediate
River Valley Wrestling,Drew Ramirez,F,2013-03-23,82,2,Intermediate
Eastside Takedown Club,Emerson Johnson,M,2018-12-09,67,3,Bantams
Prairie Wolves Wrestling,Cameron Patel,M,2013-06-20,84,4,Intermediate
Northgate Grapplers,Sam Williams,F,2019-12-04,50,3,Bantams
Northgate Grapplers,Rowan Sullivan,M,2016-07-28,75,2,Midget
Ironclad Wrestling Club,Avery Bennett,F,2013-12-17,92,2,Intermediate
Eastside Takedown Club,Jamie Novak,F,2021-03-01,33,2,Tots
Northgate Grapplers,Rowan Mitchell,F,2016-09-27,67,3,Midget
Summit Youth Wrestling,Parker Coleman,F,2018-03-15,60,3,Bantams
River Valley Wrestling,Parker Torres,M,2018-08-28,63,2,Bantams
Prairie Wolves Wrestling,Reese Diaz,M,2021-08-14,37,2,Tots
Eastside Takedown Club,Drew Diaz,F,2022-09-28,35,4,Tots
